"Year","State.Code","State.Name","Total.Math","Total.Test-takers","Total.Verbal","Academic Subjects.Arts/Music.Average GPA","Academic Subjects.Arts/Music.Average Years","Academic Subjects.English.Average GPA","Academic Subjects.English.Average Years","Academic Subjects.Foreign Languages.Average GPA","Academic Subjects.Foreign Languages.Average Years","Academic Subjects.Mathematics.Average GPA","Academic Subjects.Mathematics.Average Years","Academic Subjects.Natural Sciences.Average GPA","Academic Subjects.Natural Sciences.Average Years","Academic Subjects.Social Sciences/History.Average GPA","Academic Subjects.Social Sciences/History.Average Years","Family Income.Between 20-40k.Math","Family Income.Between 20-40k.Test-takers","Family Income.Between 20-40k.Verbal","Family Income.Between 40-60k.Math","Family Income.Between 40-60k.Test-takers","Family Income.Between 40-60k.Verbal","Family Income.Between 60-80k.Math","Family Income.Between 60-80k.Test-takers","Family Income.Between 60-80k.Verbal","Family Income.Between 80-100k.Math","Family Income.Between 80-100k.Test-takers","Family Income.Between 80-100k.Verbal","Family Income.Less than 20k.Math","Family Income.Less than 20k.Test-takers","Family Income.Less than 20k.Verbal","Family Income.More than 100k.Math","Family Income.More than 100k.Test-takers","Family Income.More than 100k.Verbal","GPA.A minus.Math","GPA.A minus.Test-takers","GPA.A minus.Verbal","GPA.A plus.Math","GPA.A plus.Test-takers","GPA.A plus.Verbal","GPA.A.Math","GPA.A.Test-takers","GPA.A.Verbal","GPA.B.Math","GPA.B.Test-takers","GPA.B.Verbal","GPA.C.Math","GPA.C.Test-takers","GPA.C.Verbal","GPA.D or lower.Math","GPA.D or lower.Test-takers","GPA.D or lower.Verbal","GPA.No response.Math","GPA.No response.Test-takers","GPA.No response.Verbal","Gender.Female.Math","Gender.Female.Test-takers","Gender.Female.Verbal","Gender.Male.Math","Gender.Male.Test-takers","Gender.Male.Verbal","Score Ranges.Between 200 to 300.Math.Females","Score Ranges.Between 200 to 300.Math.Males","Score Ranges.Between 200 to 300.Math.Total","Score Ranges.Between 200 to 300.Verbal.Females","Score Ranges.Between 200 to 300.Verbal.Males","Score Ranges.Between 200 to 300.Verbal.Total","Score Ranges.Between 300 to 400.Math.Females","Score Ranges.Between 300 to 400.Math.Males","Score Ranges.Between 300 to 400.Math.Total","Score Ranges.Between 300 to 400.Verbal.Females","Score Ranges.Between 300 to 400.Verbal.Males","Score Ranges.Between 300 to 400.Verbal.Total","Score Ranges.Between 400 to 500.Math.Females","Score Ranges.Between 400 to 500.Math.Males","Score Ranges.Between 400 to 500.Math.Total","Score Ranges.Between 400 to 500.Verbal.Females","Score Ranges.Between 400 to 500.Verbal.Males","Score Ranges.Between 400 to 500.Verbal.Total","Score Ranges.Between 500 to 600.Math.Females","Score Ranges.Between 500 to 600.Math.Males","Score Ranges.Between 500 to 600.Math.Total","Score Ranges.Between 500 to 600.Verbal.Females","Score Ranges.Between 500 to 600.Verbal.Males","Score Ranges.Between 500 to 600.Verbal.Total","Score Ranges.Between 600 to 700.Math.Females","Score Ranges.Between 600 to 700.Math.Males","Score Ranges.Between 600 to 700.Math.Total","Score Ranges.Between 600 to 700.Verbal.Females","Score Ranges.Between 600 to 700.Verbal.Males","Score Ranges.Between 600 to 700.Verbal.Total","Score Ranges.Between 700 to 800.Math.Females","Score Ranges.Between 700 to 800.Math.Males","Score Ranges.Between 700 to 800.Math.Total","Score Ranges.Between 700 to 800.Verbal.Females","Score Ranges.Between 700 to 800.Verbal.Males","Score Ranges.Between 700 to 800.Verbal.Total"
"2015","GA","Georgia","486","72898","490","3.81","1.9","3.47","3.7","3.43","2.5","3.26","3.7","3.39","3.6","3.45","3.6","450","8632","457","468","7551","476","483","6170","494","498","5226","504","422","6739","428","532","13554","532","508","14090","511","605","4548","603","547","14259","547","448","31874","455","398","5207","405","386","49","402","443","2871","455","472","39622","486","501","33276","494","1185","844","2029","1020","924","1944","7976","4969","12945","6557","5230","11787","15125","10768","25893","14369","11223","25592","10206","9644","19850","11661","9881","21542","4207","5284","9491","4896","4842","9738","923","1767","2690","1119","1176","2295"
"2015","HI","Hawaii","509","7888","487","3.8","2.3","3.4","3.9","3.48","2.5","3.15","3.9","3.29","3.6","3.45","3.8","478","800","459","489","843","471","500","820","486","508","730","487","452","554","430","542","1563","522","539","1568","508","583","437","561","559","1533","534","481","3288","464","424","725","417","393","12","398","446","325","466","495","4410","483","523","3478","491","88","48","136","120","103","223","668","397","1065","746","533","1279","1514","980","2494","1627","1213","2840","1380","1109","2489","1253","1057","2310","583","726","1309","541","464","1005","177","218","395","123","108","231"
"2015","ID","Idaho","463","17695","467","3.74","2.0","3.4","3.6","3.33","1.9","3.09","3.6","3.32","3.2","3.41","3.1","461","1147","462","476","1170","482","493","1035","495","512","669","512","422","833","427","517","1367","520","504","2294","510","593","692","591","541","2659","539","447","4907","452","403","1764","404","394","114","400","406","5265","426","454","8796","472","472","8899","463","379","337","716","356","508","864","2224","1925","4149","1582","1842","3424","3255","3054","6309","3331","3212","6543","2237","2379","4616","2528","2390","4918","613","1004","1617","829","772","1601","88","200","288","170","175","345"
"2015","IL","Illinois","616","5728","599","3.9","2.2","3.68","4.0","3.69","3.4","3.57","4.1","3.63","3.8","3.7","3.7","552","313","529","572","359","563","583","368","569","608","413","595","534","204","518","629","1940","612","613","1263","591","675","744","657","652","1991","632","553","1310","541","477","117","492","0","3","0","547","300","577","598","2958","595","635","2770","603","12","5","17","24","22","46","121","61","182","95","101","196","425","277","702","436","355","791","795","593","1388","908","803","1711","1000","900","1900","916","885","1801","605","934","1539","579","604","1183"
"2015","IN","Indiana","501","47548","496","3.8","2.3","3.41","3.9","3.27","2.9","3.17","3.9","3.28","3.3","3.43","3.3","463","5248","467","487","5463","487","500","5652","498","512","4743","507","436","3308","440","538","10014","529","527","8232","520","614","2750","600","571","8927","559","467","20374","468","413","5450","419","393","134","405","446","1681","460","483","26429","490","519","21119","503","558","295","853","485","414","899","4289","2151","6440","3689","2414","6103","9954","6338","16292","10000","7279","17279","8137","7281","15418","8501","7218","15719","3019","3990","7009","3177","3130","6307","472","1064","1536","577","664","1241"
"2015","IA","Iowa","602","986","590","3.92","2.7","3.77","4.0","3.72","3.4","3.63","4.1","3.7","3.8","3.79","3.7","523","64","527","547","72","547","580","100","576","604","79","589","552","33","519","617","344","609","591","166","572","665","195","653","629","386","617","506","184","510","473","17","505","0","1","0","468","37","519","582","546","586","622","440","594","4","1","5","8","5","13","27","13","40","18","19","37","99","47","146","85","72","157","155","99","254","176","112","288","166","152","318","171","140","311","95","128","223","88","92","180"
"2015","KS","Kansas","594","1528","588","3.93","2.8","3.72","3.9","3.71","3.0","3.54","4.0","3.68","3.7","3.75","3.7","539","95","535","560","113","566","573","119","580","567","138","569","515","44","481","614","505","614","582","268","580","660","283","653","621","588","613","504","300","509","462","38","468","0","0","0","510","51","559","571","824","581","618","704","596","3","5","8","6","10","16","40","19","59","33","34","67","162","91","253","154","101","255","266","154","420","247","184","431","245","249","494","251","220","471","108","186","294","133","155","288"
"2015","KY","Kentucky","588","1731","588","3.93","2.3","3.77","4.0","3.75","2.9","3.67","4.1","3.7","3.8","3.76","3.6","516","114","523","570","117","575","568","140","569","576","151","581","511","57","497","605","596","605","568","295","575","645","379","646","611","669","609","510","312","509","437","27","449","0","0","0","498","49","507","565","897","583","612","834","593","11","3","14","4","12","16","41","23","64","41","46","87","179","106","285","136","95","231","290","215","505","302","241","543","272","287","559","284","281","565","104","200","304","130","159","289"
"2015","LA","Louisiana","561","1976","564","3.92","2.4","3.65","4.0","3.63","2.9","3.5","4.2","3.58","4.0","3.66","4.0","503","162","504","531","163","539","522","155","538","552","144","562","473","110","475","582","599","584","561","336","566","621","365","622","594","636","592","493","523","507","426","64","434","0","1","0","498","51","522","537","1071","551","586","905","578","16","7","23","10","12","22","94","59","153","96","60","156","284","147","431","235","150","385","333","238","571","349","243","592","271","275","546","264","286","550","73","179","252","117","154","271"
"2015","ME","Maine","472","13936","468","3.82","2.4","3.58","4.0","3.52","2.9","3.4","3.9","3.47","3.6","3.57","3.5","500","301","506","512","336","517","532","317","532","544","303","537","465","206","467","565","915","552","513","2294","511","618","561","601","559","2181","549","446","5962","443","393","1366","389","378","72","380","390","1500","414","465","6779","476","479","7157","461","340","412","752","305","620","925","1458","1389","2847","1291","1547","2838","2348","2208","4556","2306","2230","4536","1780","1850","3630","1895","1717","3612","698","963","1661","816","840","1656","155","335","490","166","203","369"
"2015","MD","Maryland","493","48845","490","3.8","2.3","3.35","3.9","3.31","2.9","3.11","3.9","3.28","3.5","3.37","3.5","464","3025","459","476","3121","474","497","3040","496","514","3045","513","421","2327","420","550","12004","541","550","8256","540","606","2000","599","585","7525","575","470","20931","470","395","6410","399","360","332","368","418","3391","427","480","25831","490","507","23014","491","1402","1212","2614","1285","1372","2657","5035","3669","8704","4200","3883","8083","7877","5925","13802","8021","6580","14601","6801","5829","12630","7384","6357","13741","3739","4467","8206","3844","3681","7525","977","1912","2889","1097","1141","2238"
"2015","MA","Massachusetts","530","61277","516","3.74","2.2","3.34","3.9","3.31","3.1","3.21","3.9","3.27","3.7","3.38","3.7","486","3791","471","507","3802","495","519","4317","511","533","4454","525","452","3152","432","563","16150","550","581","11774","563","635","1520","615","612","8036","592","506","28688","495","432","6059","425","404","258","399","479","4942","502","514","32209","512","547","29068","521","722","553","1275","846","809","1655","4001","2409","6410","3981","3343","7324","9488","6802","16290","9629","8052","17681","10100","8901","19001","10336","9130","19466","6136","7171","13307","5682","5772","11454","1762","3232","4994","1735","1962","3697"
"2015","MI","Michigan","610","3765","594","3.94","2.7","3.76","4.0","3.78","3.2","3.66","4.2","3.72","3.8","3.79","3.7","549","216","535","558","236","546","589","282","586","604","317","597","530","120","507","628","1273","610","592","688","571","669","741","661","644","1432","621","513","689","509","439","53","447","0","1","0","531","161","565","585","1996","584","636","1769","604","19","8","27","12","20","32","78","53","131","104","75","179","330","159","489","318","240","558","619","352","971","622","449","1071","605","597","1202","594","547","1141","345","600","945","346","438","784"
"2015","MN","Minnesota","608","3205","595","3.9","2.9","3.74","4.0","3.68","3.4","3.57","4.1","3.63","3.9","3.71","3.9","562","156","560","561","202","550","579","198","575","591","275","582","544","90","514","617","1095","610","591","607","575","681","548","666","647","1032","627","536","732","537","486","107","477","0","2","0","539","177","570","590","1744","593","627","1461","597","4","3","7","9","14","23","46","36","82","65","61","126","265","143","408","257","217","474","580","358","938","537","402","939","573","495","1068","581","473","1054","276","426","702","295","294","589"
"2015","MS","Mississippi","567","858","582","3.94","2.5","3.79","4.0","3.78","2.4","3.72","4.2","3.78","3.9","3.81","3.9","518","86","535","547","74","562","533","74","575","582","72","597","473","55","483","591","252","607","524","138","545","628","258","642","572","307","588","466","129","479","466","7","481","0","1","0","548","18","529","539","487","566","596","371","599","5","3","8","5","4","9","37","17","54","37","18","55","116","51","167","89","53","142","186","87","273","156","78","234","113","140","253","140","146","286","30","73","103","60","72","132"
"2015","MO","Missouri","599","2379","596","3.92","2.8","3.7","4.0","3.68","3.3","3.59","4.1","3.68","3.8","3.71","3.7","531","124","537","558","165","574","578","175","584","600","214","599","524","76","531","613","759","613","588","430","582","662","474","661","630","766","624","529","519","530","439","61","441","0","0","0","567","129","575","585","1218","597","613","1161","595","6","9","15","9","19","28","52","44","96","35","56","91","176","139","315","176","159","335","398","255","653","356","296","652","410","401","811","406","391","797","176","313","489","236","240","476"
"2015","MT","Montana","558","1362","561","3.93","2.7","3.69","4.0","3.67","2.5","3.4","3.9","3.58","3.6","3.7","3.5","545","102","553","545","157","555","559","165","568","548","138","556","521","50","521","568","347","564","551","292","558","625","135","623","592","422","586","502","362","515","495","43","511","0","1","0","554","107","553","542","771","558","575","591","565","6","3","5","1","1","3","38","24","62","30","27","57","189","109","298","169","118","287","319","191","510","308","214","522","192","198","390","204","187","391","30","66","96","59","45","104"
"2015","NE","Nebraska","592","723","589","3.92","2.6","3.77","4.0","3.71","3.5","3.57","4.1","3.71","3.9","3.77","3.8","530","55","519","563","58","568","576","75","586","599","64","598","538","31","493","612","235","614","552","130","554","670","175","654","621","263","617","482","124","503","438","15","440","0","0","0","467","16","480","575","406","586","609","317","593","4","2","6","2","3","5","27","6","33","26","12","38","70","51","121","64","54","118","113","70","183","115","89","204","126","110","236","124","95","219","66","78","144","75","64","139"
"2015","NV","Nevada","496","11487","494","3.83","1.9","3.44","3.9","3.39","2.3","3.04","3.9","3.31","3.4","3.45","3.3","471","1641","472","489","1355","490","498","1130","500","514","872","513","443","1063","447","529","2116","529","515","2263","508","601","540","586","551","2054","542","467","4993","472","426","1047","437","407","27","411","444","563","468","479","6548","490","513","4939","499","132","74","206","108","94","202","1105","524","1629","915","629","1544","2543","1611","4154","2526","1765","4291","1962","1643","3605","2071","1588","3659","705","857","1562","789","730","1519","101","230","331","139","133","272"
"2015","NH","New Hampshire","531","10738","525","3.76","2.2","3.42","4.0","3.27","3.1","3.19","4.0","3.3","3.7","3.44","3.6","496","705","497","505","839","499","518","1070","517","517","1001","516","471","327","463","551","2990","541","563","2203","553","638","394","620","600","1743","590","499","4860","495","441","820","446","433","9","389","495","709","514","514","5676","522","548","5062","528","64","42","106","54","66","120","601","336","937","499","413","912","1842","1238","3080","1846","1489","3335","1928","1767","3695","1962","1817","3779","991","1229","2220","1013","1002","2015","250","450","700","302","275","577"
"2015","NJ","New Jersey","521","85021","500","3.77","2.2","3.39","3.9","3.39","3.0","3.25","3.8","3.31","3.5","3.44","3.5","480","6172","458","499","5690","479","513","5600","495","528","5746","510","441","5184","417","557","21707","537","562","17121","537","632","3873","604","597","15234","570","484","36271","466","414","6455","403","394","171","389","460","5896","480","507","44276","497","536","40745","504","1287","1034","2321","1542","1499","3041","5943","4020","9963","6615","5661","12276","13747","10399","24146","14134","12367","26501","13109","12102","25211","13311","12275","25586","7727","9015","16742","6725","6699","13424","2463","4175","6638","1949","2244","4193"
"2015","NM","New Mexico","545","2292","551","3.89","2.3","3.58","3.9","3.59","2.7","3.36","4.1","3.5","3.6","3.6","3.7","494","224","498","515","248","529","530","210","537","543","240","547","490","147","483","576","607","585","539","450","551","616","260","621","583","683","589","493","691","499","455","106","466","0","3","0","547","99","553","526","1267","546","565","1025","557","15","9","24","17","12","29","120","49","169","103","48","151","382","210","592","315","231","546","395","352","747","392","358","750","274","283","557","316","269","585","81","122","203","124","107","231"
"2015","NY","New York","502","153543","489","3.71","2.5","3.41","3.8","3.35","3.1","3.15","3.8","3.23","3.6","3.39","3.7","482","14073","467","495","11313","486","509","10274","501","522","9833","512","449","14136","427","552","27945","539","542","26143","522","645","9455","619","586","27646","562","466","62726","458","391","17446","393","366","1292","368","436","8835","457","488","81284","486","517","72259","492","3221","2319","5540","3050","2835","5885","14536","10056","24592","14208","12015","26223","25412","18924","44336","27375","22875","50250","22867","21032","43899","23178","20629","43807","11932","14109","26041","10557","10739","21296","3316","5819","9135","2916","3166","6082"
"2015","NC","North Carolina","505","58022","498","3.85","2.0","3.54","3.8","3.44","2.5","3.34","4.0","3.45","3.5","3.53","3.5","465","7211","460","489","6144","486","503","5418","498","520","4860","511","433","4866","430","548","11725","539","511","11568","504","594","4854","582","554","16234","545","457","19575","453","399","3200","399","375","60","385","453","2531","477","491","32246","494","520","25776","502","684","464","1148","691","614","1305","4971","2978","7949","4811","3711","8522","11288","7305","18593","11253","8170","19423","10050","8272","18322","10103","8055","18158","4407","5206","9613","4401","4230","8631","846","1551","2397","987","996","1983"
"2015","ND","North Dakota","609","134","598","3.95","3.1","3.88","4.1","3.79","2.7","3.76","4.3","3.8","3.9","3.86","3.5","464","5","542","586","13","587","615","8","645","624","16","651","0","4","0","622","52","623","579","10","551","682","42","647","608","54","613","508","17","516","0","4","0","0","0","0","533","7","523","589","73","590","630","61","606","1","1","2","1","1","2","2","1","3","3","1","4","11","5","16","7","8","15","18","13","31","29","16","45","30","23","53","22","24","46","11","19","30","11","11","22"
"2015","OH","Ohio","564","17253","557","3.9","2.5","3.61","4.0","3.54","3.3","3.49","4.2","3.54","3.8","3.64","3.7","507","1127","508","531","1276","531","546","1554","543","558","1707","552","480","644","470","583","5385","574","567","3546","557","640","2118","628","605","5179","595","505","5002","505","440","753","449","410","20","421","509","635","535","545","9051","550","583","8202","564","66","46","112","62","78","140","587","344","931","528","452","980","2206","1373","3579","2127","1645","3772","3276","2563","5839","3322","2830","6152","2277","2624","4901","2282","2278","4560","639","1252","1891","730","919","1649"
"2015","OK","Oklahoma","570","1720","576","3.94","2.4","3.74","3.9","3.73","2.6","3.6","4.1","3.69","3.7","3.76","3.7","533","138","540","558","187","566","548","164","551","566","190","577","504","67","487","583","518","590","553","301","564","637","371","640","591","603","594","492","334","510","447","46","445","428","5","480","503","60","544","551","889","569","589","831","583","7","4","11","6","10","16","64","39","103","47","43","90","201","132","333","173","133","306","295","246","541","292","229","521","237","267","504","254","286","540","85","143","228","117","130","247"
"2015","OR","Oregon","523","17405","524","3.87","2.2","3.55","3.9","3.52","2.7","3.31","3.8","3.47","3.5","3.57","3.4","488","1796","493","505","1761","510","516","1950","521","526","1582","532","469","1080","470","555","4147","555","528","3686","530","610","1348","607","571","4218","567","480","6296","486","440","1027","449","449","20","468","486","810","504","503","9778","518","543","7627","531","92","60","152","112","91","203","1134","476","1610","977","693","1670","3566","1992","5558","3129","2091","5220","3255","2750","6005","3365","2678","6043","1394","1779","3173","1734","1604","3338","337","570","907","461","470","931"
"2015","PA","Pennsylvania","505","96826","499","3.79","2.1","3.51","3.9","3.41","2.8","3.33","3.9","3.38","3.7","3.53","3.7","469","8051","468","489","8900","487","502","9628","499","515","8383","510","430","5615","427","547","21365","537","524","19271","515","601","7913","585","559","22235","548","462","36331","461","406","5927","409","390","130","393","435","5019","456","489","52219","494","521","44607","504","1584","981","2565","1403","1230","2633","8040","4854","12894","7279","5643","12922","18172","12676","30848","18112","14333","32445","15857","14262","30119","16722","14614","31336","7040","8860","15900","7158","7000","14158","1526","2974","4500","1545","1787","3332"
"2015","PR","Puerto Rico","450","3416","462","3.9","2.3","3.68","4.1","3.66","3.1","3.52","4.0","3.57","3.7","3.66","3.9","413","577","425","443","465","455","453","337","462","471","231","485","386","487","412","499","529","505","454","674","469","498","572","507","463","1018","473","416","985","431","367","71","396","0","1","0","407","95","409","443","1698","468","457","1718","457","90","139","229","64","155","219","471","396","867","332","364","696","627","540","1167","668","549","1217","382","412","794","442","433","875","105","184","289","173","184","357","23","47","70","19","33","52"
"2015","RI","Rhode Island","495","8103","494","3.73","2.3","3.34","3.9","3.28","3.1","3.13","3.9","3.27","3.6","3.37","3.5","467","553","472","488","593","494","494","625","497","515","608","517","431","477","432","542","1793","539","538","1535","535","613","213","613","571","1079","565","471","3856","472","414","808","417","403","23","404","450","589","457","481","4376","491","509","3727","497","168","122","290","180","160","340","785","464","1249","651","530","1181","1480","1113","2593","1462","1161","2623","1279","1156","2435","1319","1134","2453","537","643","1180","622","593","1215","127","229","356","142","149","291"
